                                 Employee Salary Report

Last Name      First Init.       Salary          Phone_Number    Department Code
Harry               M.           $10000.00        895-989-9054            V
Harry               M.           $10000.00        895-989-9054            V
Harry               M.           $10000.00        895-989-9054            V
Harry               M.           $10000.00        895-989-9054            V
Harry               M.           $10000.00        895-989-9054            V
Isac                T.           $65095.00        850-592-9049            Z
Isac                T.           $65095.00        850-592-9049            Z
Isac                T.           $65095.00        850-592-9049            Z
Isac                T.           $65095.00        850-592-9049            Z
Jack                E.           $19393.00        850-989-3434            A
Jack                E.           $19393.00        850-989-3434            A
Jack                E.           $19393.00        850-989-3434            A
Jack                E.           $19393.00        850-989-3434            A
Jenkins             H.           $78598.00        850-589-9034            F
Jenkins             H.           $78598.00        850-589-9034            F
Jenkins             H.           $78598.00        850-589-9034            F
Jenkins             H.           $78598.00        850-589-9034            F
Kell                M.           $89080.90        890-767-9090            H
Kell                M.           $89080.90        890-767-9090            H
Kell                M.           $89080.90        890-767-9090            H
Kell                M.           $89080.90        890-767-9090            H
Keyy                M.           $19929.00        850-646-0909            A
Keyy                M.           $19929.00        850-646-0909            A
Keyy                M.           $19929.00        850-646-0909            A
Keyy                M.           $19929.00        850-646-0909            A
Kiss                M.           $45090.00        850-519-9040            C
Kiss                M.           $45090.00        850-519-9040            C
Kiss                M.           $45090.00        850-519-9040            C
Kiss                M.           $45090.00        850-519-9040            C
Mark                J.           $9903.00         850-939-9032            H
Mark                J.           $9903.00         850-939-9032            H
Mark                J.           $9903.00         850-939-9032            H
Mark                J.           $9903.00         850-939-9032            H
Peet                P.           $12129.90        854-909-9909            T
Peet                P.           $12129.90        854-909-9909            T
Peet                P.           $12129.90        854-909-9909            T
Peet                P.           $12129.90        854-909-9909            T
Sally               M.           $20303.00        850-510-9009            T
Sally               M.           $20303.00        850-510-9009            T
Sally               M.           $20303.00        850-510-9009            T
Sally               M.           $20303.00        850-510-9009            T
Smith               J.           $45600.00        850-509-5050            Q
Smith               J.           $45600.00        850-509-5050            Q
Smith               J.           $45600.00        850-509-5050            Q
Smith               J.           $45600.00        850-509-5050            Q
Smith               J.           $45600.00        850-509-5050            Q
Uless               T.           $30930.00        850-989-9494            B
Uless               T.           $30930.00        850-989-9494            B
Uless               T.           $30930.00        850-989-9494            B
Uless               T.           $30930.00        850-989-9494            B




Total Salary         $1839807.20
